"rate","elevation","species"
0,496,"christophei"
0.0370905587668593,669,"christophei"
0.031767955801105,739,"christophei"
0.0335437120149603,958,"christophei"
0.034037558685446,1199,"christophei"
0.0363984674329502,1388,"christophei"
0,114,"cybotes"
0.140250855188141,242,"cybotes"
0.0787486515641855,610,"cybotes"
0.092896174863388,864,"cybotes"
0.053740779768177,999,"cybotes"
0.0660980810234542,1239,"cybotes"
0.0718113612004287,1435,"cybotes"
0,958,"etheridgei"
0.00623700623700624,1198,"etheridgei"
0.00921698682057025,1388,"etheridgei"
0.0111904132522689,1649,"etheridgei"
0.0130454340980657,1962,"etheridgei"
